id,Antibiotics,Time,shannon,Compartment,AverageSequencingDepth,label_stat
S1,No,Day1,9.748122083,Soil,30000,NS
S2,No,Day1,9.898042669,Soil,30000,NS
S3,No,Day1,9.941703026,Soil,30000,NS
S4,No,Day2,9.889629193,Soil,30000,NS
S5,No,Day2,10.1700235,Soil,30000,NS
S6,No,Day2,10.08424683,Soil,30000,NS
S7,No,Day3,10.10306644,Soil,30000,NS
S8,No,Day3,10.11651552,Soil,30000,NS
S9,No,Day3,9.722000607,Soil,30000,NS
S10,No,Day4,9.896056369,Soil,30000,NS
S11,No,Day4,10.14925767,Soil,30000,NS
S12,No,Day4,9.737283484,Soil,30000,NS
S13,Yes,Day1,9.488149287,Soil,30000,YS
S14,Yes,Day1,9.484427062,Soil,30000,YS
S15,Yes,Day1,9.518288867,Soil,30000,YS
S16,Yes,Day2,9.379450423,Soil,30000,YS
S17,Yes,Day2,8.597117698,Soil,30000,YS
S18,Yes,Day2,8.894414334,Soil,30000,YS
S19,Yes,Day3,9.726225908,Soil,30000,YS
S20,Yes,Day3,8.675443915,Soil,30000,YS
S22,Yes,Day4,9.288925904,Soil,30000,YS
S23,Yes,Day4,9.334879064,Soil,30000,YS
S24,Yes,Day4,9.606929056,Soil,30000,YS
S25,No,Day1,9.063321724,Rhizosphere,30000,NR
S26,No,Day1,9.205048178,Rhizosphere,30000,NR
S27,No,Day1,9.591363587,Rhizosphere,30000,NR
S28,No,Day2,9.220935175,Rhizosphere,30000,NR
S29,No,Day2,9.24604252,Rhizosphere,30000,NR
S30,No,Day2,9.252675367,Rhizosphere,30000,NR
S31,No,Day3,9.361639347,Rhizosphere,30000,NR
S32,No,Day3,9.430659858,Rhizosphere,30000,NR
S33,No,Day3,9.444681383,Rhizosphere,30000,NR
S34,No,Day4,9.535544911,Rhizosphere,30000,NR
S35,No,Day4,9.539746393,Rhizosphere,30000,NR
S37,Yes,Day1,9.443000255,Rhizosphere,30000,YR
S38,Yes,Day1,9.673703158,Rhizosphere,30000,YR
S39,Yes,Day1,9.517316357,Rhizosphere,30000,YR
S40,Yes,Day2,9.35499706,Rhizosphere,30000,YR
S41,Yes,Day2,8.959328067,Rhizosphere,30000,YR
S42,Yes,Day2,9.376954011,Rhizosphere,30000,YR
S43,Yes,Day3,9.453690482,Rhizosphere,30000,YR
S44,Yes,Day3,9.032497035,Rhizosphere,30000,YR
S45,Yes,Day3,9.198500216,Rhizosphere,30000,YR
S46,Yes,Day4,9.278830218,Rhizosphere,30000,YR
S47,Yes,Day4,9.135594873,Rhizosphere,30000,YR
S48,Yes,Day4,9.037627395,Rhizosphere,30000,YR
P25,No,Day1,6.960490373,Roots,10000,NROOT
P26,No,Day1,7.480906446,Roots,10000,NROOT
P27,No,Day1,7.83449107,Roots,10000,NROOT
P28,No,Day2,7.860801813,Roots,10000,NROOT
P29,No,Day2,8.352345027,Roots,10000,NROOT
P30,No,Day2,7.810749557,Roots,10000,NROOT
P31,No,Day3,7.926596593,Roots,10000,NROOT
P32,No,Day3,8.232769143,Roots,10000,NROOT
P33,No,Day3,8.038399678,Roots,10000,NROOT
P34,No,Day4,8.012687179,Roots,10000,NROOT
P35,No,Day4,7.853004151,Roots,10000,NROOT
P36,No,Day4,8.105139446,Roots,10000,NROOT
P37,Yes,Day1,7.58191454,Roots,10000,YROOT
P38,Yes,Day1,7.545363661,Roots,10000,YROOT
P39,Yes,Day1,7.691323525,Roots,10000,YROOT
P40,Yes,Day2,8.046598395,Roots,10000,YROOT
P41,Yes,Day2,7.186045654,Roots,10000,YROOT
P42,Yes,Day2,7.865817674,Roots,10000,YROOT
P43,Yes,Day3,8.627095792,Roots,10000,YROOT
P44,Yes,Day3,7.818330384,Roots,10000,YROOT
P45,Yes,Day3,7.851530455,Roots,10000,YROOT
P46,Yes,Day4,7.38494641,Roots,10000,YROOT
P47,Yes,Day4,7.951448335,Roots,10000,YROOT
P48,Yes,Day4,8.36907804,Roots,10000,YROOT
P4,No,Day2,0.597802337,Shoots,500,NSHOOT
P5,No,Day2,0.448550597,Shoots,500,NSHOOT
P6,No,Day2,0.688220164,Shoots,500,NSHOOT
P7,No,Day3,2.229164324,Shoots,500,NSHOOT
P8,No,Day3,0.37822017,Shoots,500,NSHOOT
P10,No,Day4,1.238965096,Shoots,500,NSHOOT
P11,No,Day4,1.008524619,Shoots,500,NSHOOT
P12,No,Day4,1.026359943,Shoots,500,NSHOOT
P13,Yes,Day1,0.020814071,Shoots,500,YSHOOT
P14,Yes,Day1,0.220427969,Shoots,500,YSHOOT
P15,Yes,Day1,0.079221545,Shoots,500,YSHOOT
P16,Yes,Day2,0.575807316,Shoots,500,YSHOOT
P17,Yes,Day2,0.101578179,Shoots,500,YSHOOT
P19,Yes,Day3,0.569238275,Shoots,500,YSHOOT
P20,Yes,Day3,1.116395236,Shoots,500,YSHOOT
P21,Yes,Day3,0.311818474,Shoots,500,YSHOOT
P22,Yes,Day4,0.403232665,Shoots,500,YSHOOT
P24,Yes,Day4,0.298110663,Shoots,500,YSHOOT
