Taxon,log10,Treatment,LDA,p_kruskalwallis,Compartment
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Burkholderia_Caballeronia_Paraburkholderia.NA,3.991312249,Control,3.279838681,0.000344158,Soil
Bacteria.Acidobacteria.Subgroup6.NA.NA.NA.NA,4.665045876,Control,3.554479225,0.001822735,Soil
Bacteria.Verrucomicrobia.Verrucomicrobiae.Chthoniobacterales.Chthoniobacteraceae.CandidatusUdaeobacter.VerrucomicrobiabacteriumOR_59,2.411690302,Control,3.475392313,0.001374912,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Pseudolabrys,4.112196898,Control,3.356740327,3.23E-05,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.TRA3_20,3.509196538,Control,3.065608919,6.78E-05,Soil
Bacteria.Acidobacteria.Acidobacteriia.Solibacterales.Solibacteraceae_Subgroup3_.CandidatusSolibacter.NA,3.965896054,Control,3.078542224,0.020921335,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae,3.945838483,Control,3.198515636,0.000275504,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae,3.961259409,Control,3.268391161,0.000344158,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium.NA,4.023749413,Antibiotics,3.689883618,0.000532006,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae.Methylotenera,5.259285917,Antibiotics,4.962990465,3.23E-05,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Nitrosomonadaceae.Nitrosospira.NA,3.551906572,Control,3.147396376,3.23E-05,Soil
Bacteria.Bacteroidetes.Bacteroidia.BacteroidetesVC2_1Bac22,2.254888249,Control,3.102383625,0.031801456,Soil
Bacteria.Acidobacteria.Subgroup6.NA.NA,4.66520289,Control,3.553791637,0.001822735,Soil
Bacteria.Chlamydiae.Chlamydiae.Chlamydiales.Parachlamydiaceae,2.632546829,Control,3.018165466,0.011380155,Soil
Bacteria.Actinobacteria.Actinobacteria.Streptomycetales.Streptomycetaceae.Streptomyces,4.143900283,Control,3.477196766,0.006656727,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae,4.881212297,Control,4.13231751,6.78E-05,Soil
Bacteria.Acidobacteria.Holophagae.Subgroup7.NA.NA.NA,3.895129236,Control,3.116346474,0.000532006,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Nitrosomonadaceae,4.361184613,Control,3.543890669,8.64E-05,Soil
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae.NA.NA,4.553170775,Antibiotics,4.047988012,3.23E-05,Soil
Bacteria.Acidobacteria.Acidobacteriia.Solibacterales.Solibacteraceae_Subgroup3_.Bryobacter,4.039416958,Control,3.263988613,0.000138679,Soil
Bacteria.Actinobacteria.Actinobacteria.Streptosporangiales,3.931252295,Control,3.337334731,0.002213692,Soil
Bacteria.Verrucomicrobia,4.772894121,Control,3.661738891,0.006656727,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae,4.225894795,Control,3.441638227,0.000812117,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.NA.NA,4.525072575,Control,3.637672777,0.000275504,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae,4.954742354,Control,3.852960748,0.000532006,Soil
Bacteria.Proteobacteria.Gammaproteobacteria,5.466672184,Antibiotics,4.831911098,3.23E-05,Soil
Bacteria.Acidobacteria.Acidobacteriia.Solibacterales,4.336910474,Control,3.515991825,0.002213692,Soil
Bacteria.Acidobacteria,5.0171798,Control,3.982023775,0.000174887,Soil
Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.mle1_27.NA,2.475057212,Antibiotics,3.161341501,0.049448959,Soil
Bacteria.Acidobacteria.Holophagae.Subgroup7.NA,3.895129236,Control,3.116346474,0.000532006,Soil
Bacteria.Acidobacteria.Acidobacteriia.Solibacterales.Solibacteraceae_Subgroup3_.Bryobacter.NA,4.039416958,Control,3.264388965,0.000138679,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Massilia.NA,4.258620397,Control,3.578820403,0.000174887,Soil
Bacteria.Acidobacteria.Holophagae.Subgroup7,3.895129236,Control,3.116346474,0.000532006,Soil
Bacteria.Acidobacteria.Subgroup6,4.665911401,Control,3.554946697,0.001822735,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.TRA3_20.NA.NA,3.509196538,Control,3.065608919,6.78E-05,Soil
Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.Nannocystaceae,3.011225808,Control,3.067762342,0.000532006,Soil
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae.NA,4.553170775,Antibiotics,4.047988012,3.23E-05,Soil
Bacteria.Acidobacteria.Acidobacteriia,4.448260654,Control,3.618265211,0.000658337,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae.Devosia,3.937578319,Control,3.224566131,0.000428568,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Pseudolabrys.NA,4.112196898,Control,3.356740327,3.23E-05,Soil
Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.mle1_27,2.475057212,Antibiotics,3.161341501,0.049448959,Soil
Bacteria.Actinobacteria.Actinobacteria.Micrococcales.Micrococcaceae,4.562776859,Antibiotics,4.038191699,3.23E-05,Soil
Bacteria.Acidobacteria.Subgroup6.NA.NA.NA,4.665045876,Control,3.554479225,0.001822735,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Beijerinckiaceae.Methylobacterium,4.045366687,Antibiotics,3.711817749,0.000532006,Soil
Bacteria.Actinobacteria.Actinobacteria.Streptomycetales.Streptomycetaceae.Streptomyces.NA,4.139743711,Control,3.468164391,0.006656727,Soil
Bacteria.Bacteroidetes.Bacteroidia.BacteroidetesVC2_1Bac22.NA.NA.NA,2.254888249,Control,3.085955942,0.031801456,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.NA,4.525072575,Control,3.637672777,0.000275504,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Burkholderia_Caballeronia_Paraburkholderia,3.991312249,Control,3.279838681,0.000344158,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Devosiaceae.Devosia.NA,3.93719243,Control,3.22292624,0.000428568,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Xanthobacteraceae.Bradyrhizobium,4.622445824,Antibiotics,3.657498593,0.001496164,Soil
Bacteria.Acidobacteria.Holophagae.Subgroup7.NA.NA,3.895129236,Control,3.116346474,0.000532006,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales,5.401126499,Antibiotics,4.863246251,3.23E-05,Soil
Bacteria.Proteobacteria.Deltaproteobacteria.Myxococcales.mle1_27.NA.NA,2.475057212,Antibiotics,3.161341501,0.049448959,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Burkholderiaceae.Limnobacter,2.727044233,Control,3.213015247,7.09E-05,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae,5.261839256,Antibiotics,4.965568755,3.23E-05,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Nitrosomonadaceae.Nitrosospira,3.551906572,Control,3.147396376,3.23E-05,Soil
Bacteria.Proteobacteria.Gammaproteobacteria.Betaproteobacteriales.Methylophilaceae.Methylotenera.NA,5.259285917,Antibiotics,4.962990465,3.23E-05,Soil
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales,4.03906739,Control,3.269186812,0.000812117,Soil
