Name,treatment
P1,ShootsCKDay25
P2,ShootsCKDay25
P3,ShootsCKDay25
P4,ShootsCKDay27
P5,ShootsCKDay27
P6,ShootsCKDay27
P7,ShootsCKDay30
P8,ShootsCKDay30
P9,ShootsCKDay30
P10,ShootsCKDay35
P11,ShootsCKDay35
P12,ShootsCKDay35
P13,ShootsAntiDay25
P14,ShootsAntiDay25
P15,ShootsAntiDay25
P16,ShootsAntiDay27
P17,ShootsAntiDay27
P18,ShootsAntiDay27
P19,ShootsAntiDay30
P20,ShootsAntiDay30
P21,ShootsAntiDay30
P22,ShootsAntiDay35
P23,ShootsAntiDay35
P24,ShootsAntiDay35
P25,RootsCKDay25
P26,RootsCKDay25
P27,RootsCKDay25
P28,RootsCKDay27
P29,RootsCKDay27
P30,RootsCKDay27
P31,RootsCKDay30
P32,RootsCKDay30
P33,RootsCKDay30
P34,RootsCKDay35
P35,RootsCKDay35
P36,RootsCKDay35
P37,RootsAntiDay25
P38,RootsAntiDay25
P39,RootsAntiDay25
P40,RootsAntiDay27
P41,RootsAntiDay27
P42,RootsAntiDay27
P43,RootsAntiDay30
P44,RootsAntiDay30
P45,RootsAntiDay30
P46,RootsAntiDay35
P47,RootsAntiDay35
P48,RootsAntiDay35
S1,SoilCKDay25
S2,SoilCKDay25
S3,SoilCKDay25
S4,SoilCKDay27
S5,SoilCKDay27
S6,SoilCKDay27
S7,SoilCKDay30
S8,SoilCKDay30
S9,SoilCKDay30
S10,SoilCKDay35
S11,SoilCKDay35
S12,SoilCKDay35
S13,SoilAntiDay25
S14,SoilAntiDay25
S15,SoilAntiDay25
S16,SoilAntiDay27
S17,SoilAntiDay27
S18,SoilAntiDay27
S19,SoilAntiDay30
S20,SoilAntiDay30
S21,SoilAntiDay30
S22,SoilAntiDay35
S23,SoilAntiDay35
S24,SoilAntiDay35
S25,RhizoCKDay25
S26,RhizoCKDay25
S27,RhizoCKDay25
S28,RhizoCKDay27
S29,RhizoCKDay27
S30,RhizoCKDay27
S31,RhizoCKDay30
S32,RhizoCKDay30
S33,RhizoCKDay30
S34,RhizoCKDay35
S35,RhizoCKDay35
S36,RhizoCKDay35
S37,RhizoAntiDay25
S38,RhizoAntiDay25
S39,RhizoAntiDay25
S40,RhizoAntiDay27
S41,RhizoAntiDay27
S42,RhizoAntiDay27
S43,RhizoAntiDay30
S44,RhizoAntiDay30
S45,RhizoAntiDay30
S46,RhizoAntiDay35
S47,RhizoAntiDay35
S48,RhizoAntiDay35
