Name,treatment
P1,Shoots_CK
P2,Shoots_CK
P3,Shoots_CK
P4,Shoots_CK
P5,Shoots_CK
P6,Shoots_CK
P7,Shoots_CK
P8,Shoots_CK
P9,Shoots_CK
P10,Shoots_CK
P11,Shoots_CK
P12,Shoots_CK
P13,Shoots_Anti
P14,Shoots_Anti
P15,Shoots_Anti
P16,Shoots_Anti
P17,Shoots_Anti
P18,Shoots_Anti
P19,Shoots_Anti
P20,Shoots_Anti
P21,Shoots_Anti
P22,Shoots_Anti
P23,Shoots_Anti
P24,Shoots_Anti
P25,Roots_CK
P26,Roots_CK
P27,Roots_CK
P28,Roots_CK
P29,Roots_CK
P30,Roots_CK
P31,Roots_CK
P32,Roots_CK
P33,Roots_CK
P34,Roots_CK
P35,Roots_CK
P36,Roots_CK
P37,Roots_Anti
P38,Roots_Anti
P39,Roots_Anti
P40,Roots_Anti
P41,Roots_Anti
P42,Roots_Anti
P43,Roots_Anti
P44,Roots_Anti
P45,Roots_Anti
P46,Roots_Anti
P47,Roots_Anti
P48,Roots_Anti
S1,Soil_CK
S2,Soil_CK
S3,Soil_CK
S4,Soil_CK
S5,Soil_CK
S6,Soil_CK
S7,Soil_CK
S8,Soil_CK
S9,Soil_CK
S10,Soil_CK
S11,Soil_CK
S12,Soil_CK
S13,Soil_Anti
S14,Soil_Anti
S15,Soil_Anti
S16,Soil_Anti
S17,Soil_Anti
S18,Soil_Anti
S19,Soil_Anti
S20,Soil_Anti
S21,Soil_Anti
S22,Soil_Anti
S23,Soil_Anti
S24,Soil_Anti
S25,Rhizo_CK
S26,Rhizo_CK
S27,Rhizo_CK
S28,Rhizo_CK
S29,Rhizo_CK
S30,Rhizo_CK
S31,Rhizo_CK
S32,Rhizo_CK
S33,Rhizo_CK
S34,Rhizo_CK
S35,Rhizo_CK
S36,Rhizo_CK
S37,Rhizo_Anti
S38,Rhizo_Anti
S39,Rhizo_Anti
S40,Rhizo_Anti
S41,Rhizo_Anti
S42,Rhizo_Anti
S43,Rhizo_Anti
S44,Rhizo_Anti
S45,Rhizo_Anti
S46,Rhizo_Anti
S47,Rhizo_Anti
S48,Rhizo_Anti
