Name,treatment
P1,Control
P2,Control
P3,Control
P4,Control
P5,Control
P6,Control
P7,Control
P8,Control
P9,Control
P10,Control
P11,Control
P12,Control
P13,Treat
P14,Treat
P15,Treat
P16,Treat
P17,Treat
P18,Treat
P19,Treat
P20,Treat
P21,Treat
P22,Treat
P23,Treat
P24,Treat
P25,Control
P26,Control
P27,Control
P28,Control
P29,Control
P30,Control
P31,Control
P32,Control
P33,Control
P34,Control
P35,Control
P36,Control
P37,Treat
P38,Treat
P39,Treat
P40,Treat
P41,Treat
P42,Treat
P43,Treat
P44,Treat
P45,Treat
P46,Treat
P47,Treat
P48,Treat
S1,Control
S2,Control
S3,Control
S4,Control
S5,Control
S6,Control
S7,Control
S8,Control
S9,Control
S10,Control
S11,Control
S12,Control
S13,Treat
S14,Treat
S15,Treat
S16,Treat
S17,Treat
S18,Treat
S19,Treat
S20,Treat
S21,Treat
S22,Treat
S23,Treat
S24,Treat
S25,Control
S26,Control
S27,Control
S28,Control
S29,Control
S30,Control
S31,Control
S32,Control
S33,Control
S34,Control
S35,Control
S36,Control
S37,Treat
S38,Treat
S39,Treat
S40,Treat
S41,Treat
S42,Treat
S43,Treat
S44,Treat
S45,Treat
S46,Treat
S47,Treat
S48,Treat
