#SampleID       Compartment     Antibiotics     Time
S1      Soil    No      Day1
S2      Soil    No      Day1
S3      Soil    No      Day1
S4      Soil    No      Day2
S5      Soil    No      Day2
S6      Soil    No      Day2
S7      Soil    No      Day3
S8      Soil    No      Day3
S9      Soil    No      Day3
S10     Soil    No      Day4
S11     Soil    No      Day4
S12     Soil    No      Day4
S13     Soil    Yes     Day1
S14     Soil    Yes     Day1
S15     Soil    Yes     Day1
S16     Soil    Yes     Day2
S17     Soil    Yes     Day2
S18     Soil    Yes     Day2
S19     Soil    Yes     Day3
S20     Soil    Yes     Day3
S21     Soil    Yes     Day3
S22     Soil    Yes     Day4
S23     Soil    Yes     Day4
S24     Soil    Yes     Day4
